merchant_id,month,reported_revenue,paid_amount,submit_date,expected_status,expected_anomaly_type,scenario
BM001,2026-01,50000,7215.00,2026-02-03,normal,,amount_exact_0pct
BM001,2026-02,50000,7193.36,2026-03-03,normal,,amount_under_0.3pct
BM001,2026-03,50000,7149.65,2026-04-03,normal,,amount_under_0.9pct
BM001,2026-04,50000,7146.46,2026-05-03,normal,,amount_under_0.95pct_just_below_tol
BM001,2026-05,50000,7139.24,2026-06-03,abnormal,金额不符,amount_under_1.05pct_just_above_tol
BM001,2026-06,50000,7128.42,2026-07-03,abnormal,金额不符,amount_under_1.2pct
BM001,2026-07,50000,6998.55,2026-08-03,abnormal,金额不符,amount_under_3pct
BM001,2026-08,40000,5772.00,2026-09-05,normal,,submit_on_deadline_day5
BM001,2026-09,40000,5772.00,2026-10-06,normal,,submit_late_1d_in_grace
BM001,2026-10,40000,5772.00,2026-11-07,normal,,submit_late_2d_in_grace
BM001,2026-11,40000,5772.00,2026-12-08,normal,,submit_late_3d_grace_end
BM001,2026-12,40000,5772.00,2027-01-09,abnormal,逾期提交,submit_late_4d_past_grace
BM004,2026-01,30000,3000.00,2026-02-12,abnormal,逾期提交,submit_late_7d
BM002,2026-01,0,0.00,2026-02-03,abnormal,金额不符,zero_revenue_zero_paid
BM002,2026-02,0,8000.00,2026-03-03,normal,,zero_revenue_paid_min_guarantee
BM004,2026-02,20000,2000.00,,abnormal,逾期提交,missing_submit_date
BM003,2026-01,50000,10000.00,,abnormal,逾期提交,missing_submit_date_fixed
BM002,2026-03,60000,8000.00,,abnormal,逾期提交,missing_submit_date_hybrid
BM004,2026-03,30000,4500.00,2026-04-03,abnormal,金额不符,overpaid_50pct
BM003,2026-02,50000,12000.00,2026-03-03,abnormal,金额不符,overpaid_20pct_fixed
BM003,2026-03,50000,9910.00,2026-04-03,normal,,fixed_under_0.9pct
BM003,2026-04,50000,9800.00,2026-05-03,abnormal,金额不符,fixed_under_2pct
BM002,2026-04,66667,8000.04,2026-05-03,normal,,hybrid_just_above_breakeven
BM002,2026-05,66000,7920.00,2026-06-03,normal,,hybrid_below_breakeven_tol_edge_1pct
BM002,2026-06,66000,7800.00,2026-07-03,abnormal,金额不符,hybrid_below_breakeven_2.5pct
BM002,2026-07,66666.67,8000.00,2026-08-08,normal,,hybrid_breakeven_exact
BM002,2026-08,66667.67,8000.01,2026-09-09,abnormal,逾期提交,hybrid_just_above_breakeven_double_anomaly
BM002,2026-09,100000.00,12120.00,2026-10-08,normal,,amount_exact_1pct_normal
BM002,2026-10,100000.00,12121.00,2026-11-08,abnormal,金额不符,amount_just_above_1pct_abnormal
BM002,2026-11,0.00,0.00,2026-12-08,abnormal,金额不符,zero_revenue_zero_paid_hybrid
BM002,2026-12,0.00,8000.00,2027-01-08,normal,,zero_revenue_paid_guarantee_normal
BM003,2026-05,50000.00,10000.00,2026-06-08,normal,,fixed_submit_grace_end_normal
BM003,2026-06,50000.00,9999.99,2026-07-09,abnormal,逾期提交,fixed_under_0_01_submit_late
BM003,2026-07,0.00,0.00,2026-08-08,abnormal,金额不符,zero_revenue_zero_paid_fixed_abnormal
BM003,2026-08,0.00,10000.00,2026-09-08,normal,,zero_revenue_fixed_amount_normal
